[Sat Mar 14 12:53:28.280175 2020] [php7:notice] [pid 11313] [client 127.0.0.1:39950] PHP Notice:  Undefined index: office_code in /home/viktor/dev-projects/data-2/data-2/App/Utils/Econt.php on line 61
[Sat Mar 14 12:54:01.913765 2020] [php7:notice] [pid 3507] [client 127.0.0.1:39956] PHP Notice:  Undefined index: fkff in /home/viktor/dev-projects/data-2/data-2/App/Utils/Econt.php on line 45
[Sat Mar 14 12:54:18.923624 2020] [php7:notice] [pid 11310] [client 127.0.0.1:39960] PHP Notice:  Undefined index: fkff in /home/viktor/dev-projects/data-2/data-2/App/Utils/Econt.php on line 45
[Sat Mar 14 13:02:03.622300 2020] [php7:notice] [pid 11312] [client 127.0.0.1:39990] PHP Notice:  Undefined index: fkff in /home/viktor/dev-projects/data-2/data-2/App/Utils/Econt.php on line 45
[Sat Mar 14 13:06:34.687925 2020] [php7:emerg] [pid 11311] [client 127.0.0.1:40022] PHP Parse error:  syntax error, unexpected ''bic'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /home/viktor/dev-projects/data-2/data-2/App/Utils/Econt.php on line 92
[Sat Mar 14 13:06:45.423262 2020] [php7:emerg] [pid 3512] [client 127.0.0.1:40024] PHP Parse error:  syntax error, unexpected ''bic'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /home/viktor/dev-projects/data-2/data-2/App/Utils/Econt.php on line 92
[Sat Mar 14 19:28:30.219605 2020] [php7:emerg] [pid 3512] [client 127.0.0.1:41336] PHP Parse error:  syntax error, unexpected ''bic'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /home/viktor/dev-projects/data-2/data-2/App/Utils/Econt.php on line 92
[Sat Mar 14 21:04:59.902661 2020] [php7:emerg] [pid 3509] [client 127.0.0.1:44078] PHP Parse error:  syntax error, unexpected ''bic'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /home/viktor/dev-projects/data-2/data-2/App/Utils/Econt.php on line 92
[Sat Mar 14 21:05:36.976045 2020] [php7:error] [pid 11312] [client 127.0.0.1:44118] PHP Fatal error:  Uncaught PDOException: SQLSTATE[HY000] [1698] Access denied for user 'root'@'localhost' in /home/viktor/dev-projects/data-2/data-2/App/Helpers/global.php:75\nStack trace:\n#0 /home/viktor/dev-projects/data-2/data-2/App/Helpers/global.php(75): PDO->__construct('mysql:host=127....', 'root', '', Array)\n#1 /home/viktor/dev-projects/data-2/data-2/App/Controllers/IndexController.php(52): App\\Helpers\\pdo_connect()\n#2 /home/viktor/dev-projects/data-2/data-2/App/Helpers/global.php(50): App\\Controllers\\IndexController->prices()\n#3 /home/viktor/dev-projects/data-2/data-2/bootstrap/bootstrap.php(31): App\\Helpers\\controller(Object(Twig\\Environment), '\\\\App\\\\Controller...', 'prices', Array)\n#4 /home/viktor/dev-projects/data-2/data-2/public/index.php(30): require_once('/home/viktor/de...')\n#5 {main}\n  thrown in /home/viktor/dev-projects/data-2/data-2/App/Helpers/global.php on line 75, referer: http://data-2.test/
[Sat Mar 14 21:06:58.564206 2020] [php7:error] [pid 11312] [client 127.0.0.1:44144] PHP Fatal error:  Uncaught PDOException: SQLSTATE[HY000] [1698] Access denied for user 'root'@'localhost' in /home/viktor/dev-projects/data-2/data-2/App/Helpers/global.php:75\nStack trace:\n#0 /home/viktor/dev-projects/data-2/data-2/App/Helpers/global.php(75): PDO->__construct('mysql:host=127....', 'root', '', Array)\n#1 /home/viktor/dev-projects/data-2/data-2/App/Controllers/IndexController.php(52): App\\Helpers\\pdo_connect()\n#2 /home/viktor/dev-projects/data-2/data-2/App/Helpers/global.php(50): App\\Controllers\\IndexController->prices()\n#3 /home/viktor/dev-projects/data-2/data-2/bootstrap/bootstrap.php(31): App\\Helpers\\controller(Object(Twig\\Environment), '\\\\App\\\\Controller...', 'prices', Array)\n#4 /home/viktor/dev-projects/data-2/data-2/public/index.php(30): require_once('/home/viktor/de...')\n#5 {main}\n  thrown in /home/viktor/dev-projects/data-2/data-2/App/Helpers/global.php on line 75, referer: http://data-2.test/doza
[Sat Mar 14 23:41:10.238028 2020] [php7:error] [pid 28169] [client 127.0.0.1:45536] PHP Fatal error:  Uncaught Twig\\Error\\SyntaxError: Unknown "dump" function. in /home/viktor/dev-projects/data-2/data-2/App/Views/ceni.html.twig:61\nStack trace:\n#0 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/ExpressionParser.php(446): Twig\\ExpressionParser->getFunctionNodeClass('dump', 61)\n#1 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/ExpressionParser.php(235): Twig\\ExpressionParser->getFunctionNode('dump', 61)\n#2 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/ExpressionParser.php(175): Twig\\ExpressionParser->parsePrimaryExpression()\n#3 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/ExpressionParser.php(70): Twig\\ExpressionParser->getPrimary()\n#4 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Parser.php(139): Twig\\ExpressionParser->parseExpression()\n#5 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/TokenParser/ForTokenParser.php(40): Twig\\Parser->subparse(Array)\n#6 /home/viktor/dev-projects/data-2/data-2/vendor/twig/twig/src/Parser.php(18 in /home/viktor/dev-projects/data-2/data-2/App/Views/ceni.html.twig on line 61, referer: http://data-2.test/
